subjID,gint_gsoc,gint_bsoc,bint_gsoc,bint_bsoc,neu1,neu2,round1,round2_sim_num,round2_sim,round2_dissim_num,round2_dissim,sim_cond,showNUMcond,option_A,option_B,subj_SJT_choice,argument,arg_source_pos_gint_gsoc,arg_source_pos_gint_bsoc,arg_source_neg_bint_gsoc,arg_source_neg_gint_gboc,arg_source_neu_2,arg_source_neu_1,arg_source_race_ethn,arg_source_age,arg_source_gender,arg_source_poli,arg_source_edu,arg_source_occup,Jaccard
11,"important,reliable,practical,skillful","cold,humorless,dominating,persistent","modest,sentimental,warm,sociable","superficial,vain,wavering,wasteful","question,careful,hands-off,manage","discipline,network,control,influence",22,-31,NA,NA,NA,sim,Yes,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",2,"The change in productivity could indicate that the employee is either dissatisfied with their current project or has personal issues. Either way, it's better to get to know the employee and find out why their behavior changed, rather than lecture them about how much they should care. Additionally, there is nothing wrong with the employee working only as long as required. Coming in late should be addressed, but they are not obligated to work longer than required.","intelligent,reliable,serious,skillful","cold,stern,critical,persistent","modest,tolerant,helpful,sociable","superficial,irresponsible,wavering,wasteful","question,careful,responsible,manage","discipline,control,social,influence",White,28,Man,100,Associate's degree,Soldier,0.45
12,"important,cautious,practical,skillful","critical,humorless,dominating,persistent","happy,tolerant,helpful,sociable","superficial,irresponsible,dishonest,wavering","careful,hands-on,manage,adequate","delegate,monitor,control,influence",-47,NA,NA,NA,28,dissim,No,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",1,"I think you have to be as clear as possible with communication. You can still be sensitive to asking the employee personally what's going on, but they need to know the importance of their value to the team. As long as the employee knows we value their work and value them as an individual, this conversation should be fine. If not, that means this employee is ready to leave the company and it will be for the best.","important,intelligent,reliable,skillful","stern,critical,dominating,persistent","happy,helpful,sociable,humorous","superficial,vain,impulsive,wavering","reward,hands-on,manage,adequate","network,social,recognizable,influence",Black or African American,24,Woman,79,Bachelor's degree or higher,Marketing Coordinator,0.41
13,"industrious,intelligent,reliable,skillful","stern,critical,humorless,persistent","modest,happy,helpful,sociable","superficial,vain,impulsive,wasteful","careful,responsible,hands-on,manage","discipline,delegate,network,social",-25,NA,NA,NA,-24,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"If this employee only recently started coming in late and underperforming, there must be a reason for it. It's important to talk to the employee to understand why there is a disconnect between them and their assignment. Perhaps the assignment is not a right fit and the employee and company could benefit from the employee being moved to a different project. If the issue is personal and unrelated to the job, it's important to know that as well, since, in that instance, moving the employee to a different assignment may not change anything. A company's success depends on the success of their employees. While it's important to reinforce the necessity of high quality work, that work should not come at the expense of the employees' wellbeing if the company wants to succeed in the long run.","industrious,intelligent,practical,skillful","stern,critical,shrewd,persistent","warm,tolerant,helpful,sociable","superficial,vain,dishonest,wavering","question,responsible,hands-on,manage","discipline,delegate,control,influence",White,62,Woman,15,Bachelor's degree or higher,copywriter,0.45
14,"intelligent,reliable,practical,skillful","stern,critical,shrewd,persistent","modest,tolerant,helpful,sociable","vain,impulsive,wavering,wasteful","careful,responsible,hands-on,adequate","discipline,delegate,monitor,influence",-50,NA,NA,NA,26,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"As a leader, it is imperative to maintain an open and healthy relationship with those who work under you. In this context, it is clear that the employee has some issues regarding motivation/work ethic and requires adjustment in order to continue effectively. By doing this in an open and supportive manner, the employee should feel capable of expressing the factors that have impacted their performance. This in conjunction with the offer of support will provide them with the opportunity to improve and succeed. Though there is no guaranteetheir behavior will change, such a course will at least afford the opportunity, which is what's best both for the employee and the company.","important,cautious,industrious,serious","stern,critical,dominating,persistent","sentimental,happy,sociable,humorous","superficial,irresponsible,impulsive,dishonest","reward,hands-off,manage,adequate","delegate,monitor,network,control",White,25,Man,79,Bachelor's degree or higher,Operation Supervisor,0.2
15,"cautious,reliable,practical,skillful","critical,shrewd,dominating,persistent","tolerant,helpful,sociable,humorous","superficial,vain,impulsive,wavering","careful,responsible,hands-on,manage","monitor,network,control,social",-27,-23,NA,NA,NA,sim,Yes,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",1,"I think this option is the best course of action in this situation because I should be objective in approaching this situation. He has been with the company for a number of years already and he should be fully committed to his responsibilities at the company. I would like to have an open conversation with him, and tell him how important his work is and how much I valued his previous performance.","cautious,intelligent,reliable,skillful","stern,critical,dominating,persistent","modest,warm,helpful,sociable","superficial,vain,impulsive,wavering","careful,responsible,hands-on,manage","discipline,delegate,monitor,control",White,37,Man,82,High school diploma/GED,Factory worker,0.6
16,"important,intelligent,reliable,skillful","cold,critical,humorless,dominating","modest,warm,tolerant,helpful","superficial,vain,impulsive,dishonest","responsible,hands-on,manage,adequate","delegate,monitor,recognizable,influence",-27,-25,NA,NA,NA,sim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"I would offer advice to the employee in private. I would not want to embarrass him and would like to figure out what is going on. He might need additional support, or there may be personal circumstances affecting his performance. In addition, it might be that this project is not a good fit for the individual, and we may want to figure out another project that might work better.","industrious,intelligent,reliable,skillful","stern,critical,humorless,persistent","modest,warm,tolerant,helpful","superficial,vain,impulsive,dishonest","careful,responsible,hands-off,manage","delegate,monitor,recognizable,influence",Asian,41,Man,100,Bachelor's degree or higher,Senior Research Director,0.66
17,"important,intelligent,practical,skillful","cold,stern,critical,persistent","sentimental,warm,happy,helpful","superficial,vain,impulsive,dishonest","question,responsible,manage,adequate","delegate,monitor,social,influence",-14,NA,NA,NA,0,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,Maybe the manager has something going in their personal life. Criticizing and putting the person down wouldn't not motivate them to do a better job. That's why is better to identify the reason for their behavior and find a solution that will improve their performance without adding more stress to their job. This demonstrates to the project manager that you are there for them if they need help.,"intelligent,reliable,practical,skillful","stern,critical,shrewd,persistent","modest,warm,helpful,sociable","superficial,irresponsible,impulsive,wavering","careful,responsible,hands-on,adequate","network,control,recognizable,influence",White,25,Woman,26,Bachelor's degree or higher,self-employed,0.37
18,"important,intelligent,practical,skillful","stern,critical,moody,persistent","warm,tolerant,helpful,sociable","superficial,vain,impulsive,wavering","careful,responsible,hands-on,adequate","discipline,social,recognizable,influence",27,NA,NA,29,NA,dissim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"As his manager, a personal conversation would be inappropriate. It could show favoritism. Pointing out how he is failing to meet expectations helps him understand what needs to change. Expressing that his earlier accomplishment did not go unnoticed could prevent him from feeling like he is not a part of the team.","important,cautious,industrious,serious","cold,stern,critical,dominating","sentimental,happy,sociable,humorous","vain,impulsive,dishonest,wasteful","reward,question,hands-on,manage","delegate,monitor,control,recognizable",White,30,Man,44,Some college,JMC Engineer,0.2
19,"intelligent,reliable,practical,skillful","stern,critical,dominating,persistent","warm,tolerant,helpful,sociable","superficial,impulsive,dishonest,wasteful","reward,responsible,hands-on,manage","delegate,monitor,network,influence",50,NA,NA,NA,45,dissim,No,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",2,"As a leader, it is imperative to maintain an open and healthy relationship with those who work under you. In this context, it is clear that the employee has some issues regarding motivation/work ethic and requires adjustment in order to continue effectively. By doing this in an open and supportive manner, the employee should feel capable of expressing the factors that have impacted their performance. This in conjunction with the offer of support will provide them with the opportunity to improve and succeed. Though there is no guaranteetheir behavior will change, such a course will at least afford the opportunity, which is what's best both for the employee and the company.","important,cautious,industrious,serious","stern,critical,dominating,persistent","sentimental,happy,sociable,humorous","superficial,irresponsible,impulsive,dishonest","reward,hands-off,manage,adequate","delegate,monitor,network,control",White,25,Man,79,Bachelor's degree or higher,Operation Supervisor,0.37
20,"cautious,intelligent,practical,skillful","stern,shrewd,dominating,persistent","modest,tolerant,helpful,sociable","superficial,impulsive,wavering,wasteful","careful,responsible,hands-on,manage","monitor,control,recognizable,influence",26,NA,1,NA,NA,sim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"I think this option is the best course of action in this situation because I should be objective in approaching this situation. He has been with the company for a number of years already and he should be fully committed to his responsibilities at the company. I would like to have an open conversation with him, and tell him how important his work is and how much I valued his previous performance.","cautious,intelligent,reliable,skillful","stern,critical,dominating,persistent","modest,warm,helpful,sociable","superficial,vain,impulsive,wavering","careful,responsible,hands-on,manage","discipline,delegate,monitor,control",White,37,Man,82,High school diploma/GED,Factory worker,0.6
21,"cautious,industrious,intelligent,serious","stern,humorless,dominating,persistent","modest,warm,happy,humorous","unintelligent,dishonest,wavering,wasteful","reward,question,manage,adequate","discipline,monitor,network,social",39,NA,NA,NA,-27,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"I made my decision because I think that it is important to voice your criticisms/constructive feedback to the employee so that they know what exactly they need to change to become an effective employee. I do not think that it is a good idea to sugar coat the situation because the employee may never know what went wrong in their performance. However, I also think that it is incredibly important to point out the things that the employee is doing well or has done well in the past to increase motivation. Otherwise, they might feel like they are being reprimanded and being looked down upon. The goal is to motivate not to tear down.","important,intelligent,reliable,skillful","stern,critical,shrewd,persistent","warm,tolerant,helpful,sociable","superficial,vain,impulsive,wavering","responsible,hands-on,manage,adequate","discipline,monitor,control,influence",Black or African American,23,Woman,100,Bachelor's degree or higher,Graduate research assistant,0.23
22,"important,reliable,practical,serious","cold,stern,dominating,persistent","modest,happy,tolerant,humorous","superficial,vain,impulsive,dishonest","reward,question,hands-on,adequate","network,control,social,influence",-23,8,NA,NA,NA,sim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"A discussion about the employee's behavior is necessary to determine a future course of action. There are numerous reasons, some of which could easily be fixed, that could explain his problematic behavior. Meeting to evaluate his needs and discuss the company's and employees goals is the best step.","intelligent,reliable,serious,skillful","stern,critical,dominating,persistent","modest,warm,tolerant,helpful","vain,impulsive,dishonest,wasteful","careful,responsible,hands-on,manage","delegate,monitor,control,influence",White,36,Man,71,Bachelor's degree or higher,Clinical Neuropsychologist,0.37
23,"important,intelligent,practical,skillful","stern,critical,dominating,persistent","happy,tolerant,helpful,sociable","superficial,vain,impulsive,dishonest","responsible,hands-on,manage,adequate","delegate,monitor,control,social",21,NA,NA,NA,-22,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"Although I had nothing against the other option, I thought it was very incomplete as a strategy. As a leader, it's important to be clear about how crucial it is that employees be committed to their work and to motivate them to invest themselves in their work. And constructive criticism is part of the tools a leader has at their disposal to help an employee become better at their work and more invested. Of course, criticism should always come with acknowledgement of an employee's strengths and accomplishments, otherwise it becomes lopsided and depressing for the employee who sees only their flaws being noticed, not the good they do in their work. It has to be balanced.","industrious,intelligent,reliable,skillful","stern,critical,shrewd,persistent","modest,warm,tolerant,helpful","vain,impulsive,dishonest,wasteful","reward,question,responsible,manage","delegate,network,social,influence",White,60,Woman,96,Bachelor's degree or higher,Service Coordinator,0.41
24,"important,intelligent,serious,skillful","stern,critical,dominating,persistent","sentimental,tolerant,helpful,sociable","vain,impulsive,dishonest,wasteful","careful,responsible,hands-on,manage","discipline,control,recognizable,influence",45,44,NA,NA,NA,sim,Yes,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",2,"A discussion about the employee's behavior is necessary to determine a future course of action. There are numerous reasons, some of which could easily be fixed, that could explain his problematic behavior. Meeting to evaluate his needs and discuss the company's and employees goals is the best step.","intelligent,reliable,serious,skillful","stern,critical,dominating,persistent","modest,warm,tolerant,helpful","vain,impulsive,dishonest,wasteful","careful,responsible,hands-on,manage","delegate,monitor,control,influence",White,36,Man,71,Bachelor's degree or higher,Clinical Neuropsychologist,0.66
25,"intelligent,reliable,practical,skillful","critical,shrewd,dominating,persistent","warm,tolerant,helpful,sociable","vain,impulsive,dishonest,wavering","question,responsible,hands-on,manage","discipline,monitor,network,influence",25,NA,NA,-23,NA,dissim,Yes,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,1,"As his manager, a personal conversation would be inappropriate. It could show favoritism. Pointing out how he is failing to meet expectations helps him understand what needs to change. Expressing that his earlier accomplishment did not go unnoticed could prevent him from feeling like he is not a part of the team.","important,cautious,industrious,serious","cold,stern,critical,dominating","sentimental,happy,sociable,humorous","vain,impulsive,dishonest,wasteful","reward,question,hands-on,manage","delegate,monitor,control,recognizable",White,30,Man,44,Some college,JMC Engineer,0.26
26,"important,reliable,practical,skillful","stern,critical,dominating,persistent","modest,warm,tolerant,helpful","superficial,impulsive,dishonest,wavering","reward,question,responsible,manage","delegate,network,recognizable,influence",-36,NA,NA,NA,-29,dissim,No,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,2,"As a leader, it is imperative to maintain an open and healthy relationship with those who work under you. In this context, it is clear that the employee has some issues regarding motivation/work ethic and requires adjustment in order to continue effectively. By doing this in an open and supportive manner, the employee should feel capable of expressing the factors that have impacted their performance. This in conjunction with the offer of support will provide them with the opportunity to improve and succeed. Though there is no guaranteetheir behavior will change, such a course will at least afford the opportunity, which is what's best both for the employee and the company.","important,cautious,industrious,serious","stern,critical,dominating,persistent","sentimental,happy,sociable,humorous","superficial,irresponsible,impulsive,dishonest","reward,hands-off,manage,adequate","delegate,monitor,network,control",White,25,Man,79,Bachelor's degree or higher,Operation Supervisor,0.33
27,"cautious,reliable,practical,skillful","critical,moody,shrewd,persistent","modest,tolerant,helpful,humorous","superficial,irresponsible,vain,wavering","reward,careful,hands-on,adequate","discipline,network,control,influence",-10,26,NA,NA,NA,sim,Yes,Ask the employee in a personal conversation why he only makes little progress in his project at present and offer to support him with the further project design by providing specific feedback.,"Point out to the employee how important his full commitment is to you. Openly communicate your criticism of the employee's current work ethics, but emphasize that you highly valued his performance on former projects.",1,It is important as a leader of a team to set the level of expectation at all times. There is no room for ambiguity as this can lead to loose interpretations or conflict over what was mandated at the beginning of the working relationship. It is also important to openly express praise and acknowledgement for past achievements because often team members simply lack motivation or sense of purpose and giving them that can often lead to an improved sense of self and identity within the organisation and team.,"important,intelligent,reliable,practical","critical,shrewd,dominating,persistent","warm,tolerant,helpful,sociable","superficial,vain,impulsive,wavering","careful,hands-on,manage,adequate","discipline,delegate,recognizable,influence",White,27,Man,84,Bachelor's degree or higher,"Fleet Supervisor, Entertainment Experience",0.45
